job_id,Title,Company,Experience,Location,Description,Posted_Date,Skills_Listed,Job_URL
190626017226,Data Analyst,CUMI,0-1 Yrs,Chennai,"Build our analytical frameworks by predictive forecastingnew tool implementation, new m...",2 days ago,"Automation Tools, Prompt Engineering, Ai Strategy, Data Visualization, Data Analytics, Machine Learning, Kpi Dashboards, Data",https://www.naukri.com/job-listings-data-analyst-cumi-chennai-0-to-1-years-190626017226
190626500637,Data Analyst - App Data,Greedygame Media,2-5 Yrs,Bengaluru,"Requirements . 2 4 years of experience in Product Analytics, Data Analytics, or Growth ...",2 days ago,"Product quality, Health insurance, Data analysis, Publishing, power bi, Data analytics, data visualization, Analytics",https://www.naukri.com/job-listings-data-analyst-app-data-greedygame-bengaluru-2-to-5-years-190626500637
160626014633,Data Analyst,Vilican Technologies Pvt. Ltd.,0-2 Yrs,Aurangabad(Shendra MIDC),"Job SummaryWe are seeking a detail-oriented and analytical Data Analyst to collect, pr...",5 days ago,"Data Analytics, Power Bi, Data Analysis, Tableau, Dashboards, data analyst, SQL, Data",https://www.naukri.com/job-listings-data-analyst-vilican-technologies-pvt-ltd-aurangabad-0-to-2-years-160626014633
150626016461,Data Analyst,Careernet,10-15 Yrs,Bengaluru,Experience working with large-scale data environments and modern analytics ecosystems E...,6 days ago,"BI, Looker, Data Analytics, SQL, Scripting, Data analysis, Analytics, Data",https://www.naukri.com/job-listings-data-analyst-careernet-bengaluru-10-to-15-years-150626016461
160626032383,Data Analyst,Client of Markmakers,0-3 Yrs,Remote,"Develop, automate, and maintain MI reports and dashboards using relevant tools (Advance...",5 days ago,"Statistical Modeling, Python, SQL, Data Analysis, Data Analytics, Modeling, Analytics, Statistics",https://www.naukri.com/job-listings-data-analyst-mark-makers-consultancy-services-gurugram-0-to-3-years-160626032383
170626009282,Data Analyst,Capco,7-15 Yrs,"Pune, Bengaluru",Provide regular reporting on key performance indicators (KPIs) to stakeholders. Job Req...,4 days ago,"Pyspark, Python, Banking, Data Analyst, SQL, Data Analytics, Data, Analytics",https://www.naukri.com/job-listings-data-analyst-capco-pune-bengaluru-7-to-15-years-170626009282
180626505450,Fresher - Data Analyst,Zyphra Tech Solutions Inc,N/A,Hyderabad,N/A,Starts in 1-3 months,,https://www.naukri.com/job-listings-fresher-data-analyst-zyphra-tech-solutions-inc-hyderabad-0-to-3-years-180626505450
110626504564,Fresher - Data Analyst,Gravitix Tech Solutions Inc,0-1 Yrs,Visakhapatnam,Job Description - About the Role We are looking for a detail-oriented and analytical D...,1 week ago,"Computer science, Data analysis, Data validation, Data modeling, Analytical, data visualization, Business intelligence, Internship",https://www.naukri.com/job-listings-fresher-data-analyst-gravitix-tech-solutions-inc-visakhapatnam-0-to-1-years-110626504564
130126506831,DATA ANALYST,Godigi Infotech,N/A,Pune,N/A,Starts in 1-3 months,,https://www.naukri.com/job-listings-data-analyst-godigi-infotech-pune-0-to-1-years-130126506831
160626028389,Data Analyst,SkillLabs,0-1 Yrs,Ludhiana,"Strong analytical, problem-solving, and communication skills needed Local candidate fro...",5 days ago,"SQL, Bi, Bi Tools, Data Analysis, Data Analytics, Tools, Analytics, Analysis",https://www.naukri.com/job-listings-data-analyst-skilllabs-ludhiana-0-to-1-years-160626028389
160626026442,Data Analyst,SkillLabs,0-1 Yrs,Jaipur,"Strong analytical, problem-solving, and communication skills needed Local candidate fro...",5 days ago,"SQL, Bi, Bi Tools, Data Analysis, Data Analytics, Data, Analytics, Tools",https://www.naukri.com/job-listings-data-analyst-skilllabs-jaipur-0-to-1-years-160626026442
160626026732,Data Analyst,SkillLabs,0-1 Yrs,Gurugram,"Strong analytical, problem-solving, and communication skills needed Local candidate fro...",5 days ago,"SQL, Bi, Bi Tools, Data Analysis, Data Analytics, Tools, Analytics, Analysis",https://www.naukri.com/job-listings-data-analyst-skilllabs-gurugram-0-to-1-years-160626026732
080626009898,Data Analyst,Irama Global Services,0-2 Yrs,Uzbekistan,The role is ideal for fresh graduates or professionals with up to 2year of experience w...,1 week ago,"SAP, Data Analysis, Advanced Ms Excel, SQL, Excel, Microsoft, Analysis, Data",https://www.naukri.com/job-listings-data-analyst-irama-global-services-uzbekistan-0-to-2-years-080626009898
190626502635,Data Analyst,LiveLike,N/A,Gurugram,N/A,Starts in 1-3 months,,https://www.naukri.com/job-listings-data-analyst-livelike-inc-gurugram-0-to-3-years-190626502635
