job_id,Title,Company,Experience,Location,Description,Posted_Date,Skills_Listed,Job_URL,source,date_scraped
Business Data Analyst - Corpor,Business Data Analyst - Corporate Functions Technology,MG India,Fresher,"Pune, India","Job Description
             About M&G IndiaWe are M&G India, the strategic innovation and digital hub for M&G. Established in 2003, we have offices in Mumbai and Pune.Our teams work closely with colleagues across the Group worldwide to drive transformation, build digital capability, and support sustainable growth. By leveraging technology, AI, automation, and process excellence, we bring new ways of thinking to improve outcomes for both customers and colleagues.Grounded in a vibrant culture wit",Posted 16 hours ago,"Lean Enterprise, GUI Screen and Interface designs, Acceptance Criteria, Business Requirements Document, BPMN 2.0, Requirements definition and management systems, Six Sigma, user journeys, Use Cases",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
Senior Data Analyst_Exl,Senior Data Analyst,Exl,Fresher,"Gurugram, Gurugram, India","Job Description
             Senior Data Analyst – GCP | BigQuery | SQL Overview :We are seeking an experienced Senior Data Analyst to support a high-impact client engagement focused on enhancing enterprise data and reporting capabilities. The role will work closely with business and technical stakeholders to enhance data pipelines, and enable actionable insights through scalable data models and visualisations.The ideal candidate will have strong expertise in BigQuery, alongside advanced SQL and",Posted 16 hours ago,"Looker Studio, BigQuery, Sql",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
Senior Associate - Data Analys,Senior Associate - Data Analyst,Macquarie Group,2 - 4 Years,"Gurugram, Gurugram, India","Job Description
             The Central Data & Technology (CDT) partners across Macquarie to deliver enterprise data, technology, analytics, governance and innovation capabilities that enable trusted decision-making, operational efficiency and business growth. Within CDT, the Data team collaborates with stakeholders across business and technology to deliver high-quality data products, governance and self-service analytics solutions, offering an exciting opportunity to help shape the organizatio",Posted 16 hours ago,"Generative AI, Microsoft Copilot, Confluence, Collibra, Power Bi, Jira, Sql, Python",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
Data Analyst_Nutrabay,Data Analyst,Nutrabay,3 - 5 Years,"Gurugram, Gurugram, India","Job Description
             Job Description - Data AnalystYou should apply if you have:3 years of experience as a Data Analyst, Business Analyst, or in a similar analytics role.Strong SQL skills with the ability to write complex analytical queries involving multiple tables, CTEs, window functions, and performance optimization.Hands-on experience building business dashboards using Power BI (preferred) or other BI tools such as Metabase, Tableau, or Looker.Strong analytical and problem-solving sk",Posted 16 hours ago,"Power Bi, google sheets, Data Visualization, Data Modeling, Dax, Microsoft Excel, Python, Sql",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
Sr. Data Analyst - PySpark Job,Sr. Data Analyst - PySpark Job,Yash Technologies Private Limited,5 - 7 Years,India,"Job Description
             Job Description :YASH Technologies is a leading technology integrator specializing in helping clients reimagine operating models, enhance competitiveness, optimize costs, foster exceptional stakeholder experiences, and drive business transformation.At YASH, we're a cluster of the brightest stars working with cutting-edge technologies. Our purpose is anchored in a single truth - bringing real positive changes in an increasingly virtual world and it drives us beyond ge",Posted 16 hours ago,"Data Factory Pipelines, Lakehouse, Spark DataFrames, Microsoft Fabric, Fabric Notebooks, Spark SQL, Pyspark, ELT, Etl",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
Growth & Data Analyst_NuBrakes,Growth & Data Analyst,NuBrakes,4 - 7 Years,"Bengaluru, India","Job Description
             Location: Bangalore (On-site/Hybrid)Experience: 4–7 yearsFunction: Marketing & GrowthReports to: VP Marketing & GrowthAbout NubraNubra is a SEBI-registered trading platform built for active traders and investors. We're building a data-driven growth engine where analytics powers every acquisition, activation, and retention decision. As we scale, we're looking for a Growth & Data Analyst who can go beyond reporting to uncover insights, drive experimentation, and direct",Posted 17 hours ago,"CleverTap, Amplitude, funnel reporting, cohort analysis, Mixpanel, executive dashboards, attribution modelling, experimentation frameworks, Looker Studio, GA4, business recommendations, Power Bi, Tableau, Sql, Python Pandas",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
Senior Data Analyst (Procureme,Senior Data Analyst (Procurement ),Cushman & Wakefield,3 - 5 Years,"Gurugram, India","Job Description
             Job TitleSenior Data Analyst (Procurement )Job Description SummaryJob DescriptionPosition: Senior Data Analyst (Procurement )Procurement Analytics & ReportingDesign, develop, and maintain interactive Power BI dashboards and reports to support spend analysis, supplier performance, contract lifecycle management, and procurement KPIs. Deliver data-driven insights across categories including facilities management, construction, fit-out, property services, and professiona",Posted 2 days ago,"Microsoft Fabric, Power Bi, Power Automate, Databricks, Sql",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
Sr. Data Analyst - Power BI Jo,Sr. Data Analyst - Power BI Job,Yash Technologies Private Limited,5 - 7 Years,"Bengaluru, India","Job Description
             Job Description :YASH Technologies is a leading technology integrator specializing in helping clients reimagine operating models, enhance competitiveness, optimize costs, foster exceptional stakeholder experiences, and drive business transformation.At YASH, we're a cluster of the brightest stars working with cutting-edge technologies. Our purpose is anchored in a single truth - bringing real positive changes in an increasingly virtual world and it drives us beyond ge",Posted a day ago,"Semantic Models, report development, Row-Level Security, Power Bi, Ui Ux Design, Dax, Data Analytics, Power Query, Sql",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
Senior Data Analyst I_Academic,Senior Data Analyst I,Academic Press Elsevier,5 - 7 Years,"Bengaluru, India","Job Description
             Senior Data Analyst-IDo you like working with data and analytics to gain insight to solve problemsDo you enjoy collaborating across teams to build and deliver products that make a differenceAbout Our Team:-The Content and Data Analytics team is part of DataOps within Global Operations at Elsevier. We provide analytics services primarily using Databricks, supporting Product Owners, Product Managers, Data Scientists, and Research Data Platform domain teams. Our work co",Posted a day ago,"snowflake, Pandas, Power Bi, Pyspark, Apache Spark, Tableau, Databricks, JIRA, Sql, Python",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
Data Analyst_American Express ,Data Analyst,American Express Global Business Travel,5 - 7 Years,"Bengaluru, India","Job Description
             Amex GBT is a place where colleagues find inspiration in travel as a force for good and – through their work – can make an impact on our industry. We're here to help our colleagues achieve success and offer an inclusive and collaborative culture where your voice is valued.We are seeking an experienced Data Analyst to join our Innovation and Development team at American Express Global Business Travel. In this role, you will lead data-driven initiatives, architect scal",Posted 2 days ago,"Data architecture design, Agile Methodologies, R Programming, Python, Sql",https://www.foundit.in/srp/results?query=data+analyst,Foundit,2026-08-15
